path,ref,hyp
data/librispeech_test_other/sample_175.wav,presently my friends came to me and i distributed presents among my family and gave alms and largesse after which i yielded myself to joyance and enjoyment mirth and merry making and forgot all that i had suffered,presently my friends came to me and i distributed presence among my family and gave arms and larjes after which i yielded myself to joyance and enjoyment mirth and merrymaking and forgot all that i had suffered
data/librispeech_test_other/sample_176.wav,such then o my brothers is the history of what befel me in my sixth voyage and to morrow inshallah,such then are my brothers is the history of what befell me in my sixth voyage and to morro in chalas
data/librispeech_test_other/sample_177.wav,i will tell you the story of my seventh and last voyage which is still more wondrous and marvellous than that of the first six,i will tell you the story of my seventh and last voyage which is still more wondrous and marvelous than that of the first six
data/librispeech_test_other/sample_178.wav,when it was the five hundred and sixty third night,when it was the five hundred and sixty third night
data/librispeech_test_other/sample_179.wav,she said it hath reached me o auspicious king that when sindbad the seaman had related the history of what befel him in his sixth voyage and all the company had dispersed sindbad the landsman went home and slept as of wont,she said it hath reached me o auspicious king that when synbad the semon had relighted the history of what befell him in his sixth voyage and all the company had dispersed sinbad the landsman went hime and slept as of wont
data/librispeech_test_other/sample_180.wav,the seventh voyage of sindbad the seaman,the seventh voyage of sinbad the seamon
data/librispeech_test_other/sample_181.wav,know o company that after my return from my sixth voyage which brought me abundant profit i resumed my former life in all possible joyance and enjoyment and mirth and making merry day and night and i tarried some time in this solace and satisfaction till my soul began once more to long to sail the seas and see foreign countries and company with merchants and hear new things,no ou company that after my return from my seexth voyage which brought me abundant profit i resumed my former life and all possible joyants and enjoyment and mirth and making merry day and night and i tarried some time in this solace and satisfaction till my soul began once more to long to sale the seas and see foreign countries and company with merchants and her new things
data/librispeech_test_other/sample_182.wav,so having made up my mind i packed up in bales a quantity of precious stuffs suited for sea trade and repaired with them from baghdad city to bassorah town where i found a ship ready for sea and in her a company of considerable merchants,so having made up my mind i packed up in byals a quantity of precious stuffs suited for sea trade and repaired with them from baggdad city to basera tean where i found a ship ready for sea and in her a company of considerable merchants
data/librispeech_test_other/sample_183.wav,but the captain arose and tightening his girdle tucked up his skirts and after taking refuge with allah from satan the stoned clomb to the mast head whence he looked out right and left and gazing at the passengers and crew fell to buffeting his face and plucking out his beard,but the captain arose and tighten in his girdle tucked up his skirts and after taking refuge with allah from saight an the stone climbed to the masthead whence he looked out right and left and gazing at the passengers and crew fell to buffed in his face and plucking out his beard
data/librispeech_test_other/sample_184.wav,this he set in a saucer wetted with a little water and after waiting a short time smelt and tasted it and then he took out of the chest a booklet wherein he read awhile and said weeping know o ye passengers that in this book is a marvellous matter denoting that whoso cometh hither shall surely die without hope of escape for that this ocean is called the sea of the clime of the king wherein is the sepulchre of our lord solomon son of david on both be peace,this he said in a sourcer weated with the little water and after waiting a short time smelt and tasted it and then he took out of the chest af booklet wherein he read a while and said weeping no are ye passengers that in this book is a marvellous matter denoting that who so come hither shall surely die without hope of escape for that this ocean is called the sea of the climbe of the king wherein is a seplcar of our lord solomon son of davad on both be peace
data/librispeech_test_other/sample_185.wav,a second fish made its appearance than which we had seen naught more monstrous,a second fish made its appearance and which we had seen nort more monstrous
data/librispeech_test_other/sample_186.wav,when suddenly a violent squall of wind arose and smote the ship which rose out of the water and settled upon a great reef the haunt of sea monsters where it broke up and fell asunder into planks and all and everything on board were plunged into the sea,when suddenly a violant squarl of wind arose and smoted the ship which arose out of the water and settled upon a great rief the hoaunt of sea monsters where it broke up and fell asunder into planks and all and everything on board were plunged into the sea
data/librispeech_test_other/sample_187.wav,although the plague was there in the most part of all the houses they nevertheless entered everywhere then plundered and carried away all that was within and yet for all this not one of them took any hurt which is a most wonderful case,although the plague was there in the most part of all the houses they never the less entered everywhere them plundered and carried away all that was within and yet for all this not one of them took any hurt which is a most wonderful case
data/librispeech_test_other/sample_188.wav,i beseech you think upon it,i beseech you think upon it
data/librispeech_test_other/sample_189.wav,nevertheless at all adventures they rang the bells ad capitulum capitulantes,nevertheless at all venters they rang the bells ad cap pitulum capitulantdes
data/librispeech_test_other/sample_190.wav,by the virtue of god why do not you sing panniers farewell vintage is done,by the virtue of god why do not you sing paniers farewell ventage is done
data/librispeech_test_other/sample_191.wav,by the belly of sanct james what shall we poor devils drink the while,by the belly of saint james what shall we poor devil's drink the while
data/librispeech_test_other/sample_192.wav,lord god da mihi potum,lord god dow me he potum
data/librispeech_test_other/sample_193.wav,let him be carried to prison for troubling the divine service,let him be carried to prison for troubling the divine service
data/librispeech_test_other/sample_194.wav,wherefore is it that our devotions were instituted to be short in the time of harvest and vintage and long in the advent and all the winter,wherefore is it that our devotions were instituted to be short in the time of harvest in ventage and long in the advent and all the winter
data/librispeech_test_other/sample_195.wav,hark you my masters you that love the wine cop's body follow me for sanct anthony burn me as freely as a faggot if they get leave to taste one drop of the liquor that will not now come and fight for relief of the vine,hart you my masters you that love the wine cop's body follow me for saint anthony burne me as freely as a faggats they get leave to taste one drop of the liquor that would not now come and fight for relief of the vine
data/librispeech_test_other/sample_196.wav,to others again he unjointed the spondyles or knuckles of the neck disfigured their chaps gashed their faces made their cheeks hang flapping on their chin and so swinged and balammed them that they fell down before him like hay before a mower,to others again he unjointed the spin lels or knuckles of the neck this figured their chaps gashed their faces made their cheeks hang flapping on their chin and so swinged and belamed them that they fell down before him like hay before him over
data/librispeech_test_other/sample_197.wav,to some with a smart souse on the epigaster he would make their midriff swag then redoubling the blow gave them such a homepush on the navel that he made their puddings to gush out,to some would they smart soos on the ebogaster he would make their mid drifts wag then redoubling the blow gave them such a home push on the naval that he made their puddings to gush out
data/librispeech_test_other/sample_198.wav,believe that it was the most horrible spectacle that ever one saw,believe that it was the most horrible spectacle that ever one saw
data/librispeech_test_other/sample_199.wav,o the holy lady nytouch said one the good sanctess o our lady of succours said another help help,oh the holy lady knightigh said one the good sanctis oh our lady of sacures said another help help
